t,LE11,LE22,LE33,LE12,LE13,LE23,J,S11,S22,S33,S12,S13,S23,psiE,psiNE
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,0.00178536210397761,0.00995033085316809,0,0,0,0,1.01180482637992,-4.89305635561945e-08,0.000660970372148221,-0.000143161756561414,0,0,0,1.82157362175204e-06,1.45769676381327e-06
0.4,0.00349644142631384,0.0198026272961797,0,0,0,0,1.02357261233009,-4.42474210423011e-08,0.0013092223583629,-0.000275283334144239,0,0,0,7.17102826620083e-06,5.72124618921644e-06
0.6,0.00513224036871351,0.0295588022415444,0,0,0,0,1.03529979585991,-3.98514274673389e-08,0.00194511829711862,-0.00039682939927571,0,0,0,1.58816352568778e-05,1.26324295888716e-05
0.8,0.00669266785688717,0.0392207131532813,0,0,0,0,1.04698371835709,-3.57387867089016e-08,0.00256901055648133,-0.000508268930552698,0,0,0,2.77948910429936e-05,2.20409823094391e-05
1,0.00817772744864738,0.048790164169432,0,0,0,0,1.05862181921612,-3.19051562210808e-08,0.00318124520211056,-0.000610060306135279,0,0,0,4.27600888128757e-05,3.38044813675454e-05
1.2,0.00958750622148387,0.0582689081239758,0,0,0,0,1.07021163040861,-2.83415170867531e-08,0.00378216004559944,-0.000702649594360868,0,0,0,6.06339113444258e-05,4.778808414266e-05
1.4,0.0109221693074598,0.0676586484738149,0,0,0,0,1.08175077632727,-2.50412391122369e-08,0.00437208396969425,-0.000786469878740982,0,0,0,8.12800476572891e-05,6.38642118945973e-05
1.6,0.0121819568448186,0.0769610411361284,0,0,0,0,1.09323697582962,-2.1995207785978e-08,0.00495133677039188,-0.000861941015297056,0,0,0,0.000104568833092436,8.19122116647564e-05
1.8,0.0133671817436887,0.0861776962410524,0,0,0,0,1.10466804490321,-1.91953436500837e-08,0.00552022923986497,-0.000929469595066369,0,0,0,0.000130376911335718,0.000101818012324642
2,0.0144782279175582,0.0953101798043249,0,0,0,0,1.11604189962577,-1.66318074171831e-08,0.00607906336270394,-0.000989449013310052,0,0,0,0.000158586916976753,0.000123473782774075
2.2,0.0155155485339723,0.104360015324243,0,0,0,0,1.12735655895021,-1.42951242293118e-08,0.00662813256618946,-0.00104225959550909,0,0,0,0.000189087176939897,0.000146777597012842
2.4,0.0164796642432709,0.113328685307003,0,0,0,0,1.13861014726598,-1.21764598690413e-08,0.00716772199069672,-0.00108826875515077,0,0,0,0.000221771429377982,0.000171633108679108
2.6,0.0173711613161108,0.122217632724249,0,0,0,0,1.14980089665269,-1.02657014204414e-08,0.00769810876234591,-0.00112783116945771,0,0,0,0.000256538558670227,0.000197949236603233
2.8,0.0181906895721298,0.131028262406404,0,0,0,0,1.16092714867985,-8.5525326261153e-09,0.00821956225922421,-0.00116128896559344,0,0,0,0.000293292345171095,0.00022563986240508
3,0.0189389601203404,0.139761942375159,0,0,0,0,1.17198735575948,-7.02804396060172e-09,0.00873234436537488,-0.00118897191372004,0,0,0,0.00033194122857009,0.000254623540613717
3.2,0.0196167429847889,0.148420005118273,0,0,0,0,1.18298008212304,-5.68194339538655e-09,0.00923670970877426,-0.00121119762491445,0,0,0,0.000372398083901867,0.0002848232213995
3.4,0.0202248644899182,0.157003748809665,0,0,0,0,1.19390400426419,-4.50383523921752e-09,0.00973290588409408,-0.00122827175323136,0,0,0,0.000414580009093535,0.000316165986186348
3.6,0.0207642044606781,0.165514438477573,0,0,0,0,1.20475791089631,-3.48561538182982e-09,0.0102211736594608,-0.00124048820193334,0,0,0,0.000458408123218871,0.000348582796027476
3.8,0.021235693374771,0.173953307123438,0,0,0,0,1.2155407025792,-2.61714743149746e-09,0.010701747165824,-0.00124812933355285,0,0,0,0.000503807374855322,0.000382008252307725
4,0.021640309258047,0.182321556793955,0,0,0,0,1.22625139075782,-1.88962337357296e-09,0.0111748540729693,-0.00125146618470777,0,0,0,0.000550706359531759,0.000416380370017103
4.2,0.0218178576809081,0.19062035960865,0,0,0,0,1.23668970516299,-1.01694436733073e-05,0.0116430977628466,-0.00125171785072458,0,0,0,0.000598781320457158,0.000452066408821199
4.4,0.0221240368069574,0.198850858745165,0,0,0,0,1.24729211759107,-8.11563444397517e-06,0.0121014580428378,-0.00124711013084968,0,0,0,0.000648524459786452,0.000488090246167713
4.6,0.0223660536541424,0.207014169384326,0,0,0,0,1.25782020031852,-6.10385834885069e-06,0.0125530021843427,-0.00123890434002368,0,0,0,0.000699575677523343,0.000524886136585503
4.8,0.0225449432631711,0.215111379616945,0,0,0,0,1.2682732414211,-4.13932651134943e-06,0.0129979352711931,-0.00122733157595214,0,0,0,0.000751876043239514,0.000562404220075737
5,0.0225449432631711,0.22314355131421,0,0,0,0,1.27850125143256,-9.52104878695296e-06,0.0134381978709352,-0.00121361193431595,0,0,0,0.000805164485811955,0.000600967092887065
5.2,0.0227179566756155,0.231111720963387,0,0,0,0,1.28895224818056,-3.52529154403793e-07,0.0138687547439421,-0.00119495660958853,0,0,0,0.000860003196842121,0.000639418856922337
5.4,0.0227179566756155,0.2390169004705,0,0,0,0,1.29918202792802,1.68713612967285e-06,0.0142949677607834,-0.00117453115199006,0,0,0,0.000915732568650313,0.0006788149876881
5.6,0.0227179566756155,0.246860077931526,0,0,0,0,1.30941180767549,7.30006312585265e-06,0.0147144531423551,-0.00115095132083421,0,0,0,0.000972612291910198,0.000718547950949143
5.8,0.0225337305887349,0.254642218373581,0,0,0,0,1.31939849740966,4.98220711352918e-06,0.0151301650952551,-0.00112632920598087,0,0,0,0.00103025038719755,0.000759238327413383
6,0.0223589601572422,0.262364264467491,0,0,0,0,1.32939403366538,6.67026235968808e-06,0.0155393913004867,-0.00109883924628298,0,0,0,0.00108896222583807,0.000800164937678375
6.2,0.0221296014889361,0.27002713721306,0,0,0,0,1.33931292335786,8.31278054326447e-06,0.0159432751283866,-0.001069323090454,0,0,0,0.00114858459305381,0.000841523807997163
6.4,0.0216861009491133,0.27763173659828,0,0,0,0,1.34893829858519,-1.20560092378014e-09,0.0163444047909176,-0.00103996980937049,0,0,0,0.00120876020123152,0.000883934219820877
6.6,0.0213259555877704,0.285178942233662,0,0,0,0,1.3586681219748,-1.61358551607066e-09,0.0167384682280488,-0.00100728278464851,0,0,0,0.00127003255012221,0.000926183033144812
6.8,0.0209157493579193,0.29266961396282,0,0,0,0,1.36832226230869,-2.06621675932078e-09,0.0171276449148013,-0.000973028423725495,0,0,0,0.00133210336674781,0.000968768672728524
7,0.020456771498766,0.300104592450338,0,0,0,0,1.37790105124355,-2.56014657390446e-09,0.0175120794775252,-0.000937336809836277,0,0,0,0.00139493887385107,0.0010116604979541
7.2,0.0199503064110761,0.307484699747961,0,0,0,0,1.38740487559574,-3.09115321880937e-09,0.0178919116549888,-0.000900330720206595,0,0,0,0.0014585069194664,0.00105482904737245
7.4,0.0193976309655848,0.314810739840034,0,0,0,0,1.39683417271435,-3.65564338696001e-09,0.0182672763670934,-0.00086212589619873,0,0,0,0.00152277689278394,0.00109824596679928
7.6,0.0188000119922195,0.322083499169113,0,0,0,0,1.40618942594788,-4.24992431611454e-09,0.0186383037838705,-0.0008228313118724,0,0,0,0.00158771964403077,0.00114188394293821
7.8,0.0181587038973236,0.3293037471426,0,0,0,0,1.41547116014674,-4.8709179901324e-09,0.0190051193961713,-0.000782549441217444,0,0,0,0.00165330740812632,0.00118571664245125
8,0.0174749464547686,0.336472236621213,0,0,0,0,1.42467993728069,-5.51583069236666e-09,0.0193678440878601,-0.0007413765228983,0,0,0,0.00171951373207609,0.00122971865595493
8.2,0.0167499627653744,0.343589704390077,0,0,0,0,1.43381635217908,-6.1813880628675e-09,0.0197265942100396,-0.000699402822076841,0,0,0,0.00178631340596795,0.00127386544665644
8.4,0.01598495734904,0.350656871613169,0,0,0,0,1.44288102835772,-6.86500421440139e-09,0.0200814816582287,-0.000656712889454965,0,0,0,0.00185368239737368,0.00131813330351956
8.6,0.0151811144173734,0.357674444271816,0,0,0,0,1.45187461401422,-7.56507752188579e-09,0.0204326139520571,-0.000613385816315791,0,0,0,0.00192159778913814,0.00136249929844125
8.8,0.0143395963581803,0.364643113587909,0,0,0,0,1.46079777825274,-8.27852513797522e-09,0.020780094317172,-0.000569495484481597,0,0,0,0.00199003772050953,0.00140694124696581
9,0.0134615422941642,0.371563556432483,0,0,0,0,1.46965120735217,-9.0039732891789e-09,0.0211240217716738,-0.00052511081323441,0,0,0,0.00205898133120307,0.00145143767301413
9.2,0.0125480668974058,0.378436435720245,0,0,0,0,1.47843560135382,-9.73940648962834e-09,0.0214644912143106,-0.00048029599952571,0,0,0,0.00212840870867631,0.00149596777638421
9.4,0.0116002593090376,0.385262400790645,0,0,0,0,1.48715167076293,-1.04833232181939e-08,0.0218015935167701,-0.000435110753784663,0,0,0,0.00219830083818487,0.00154051140357489
9.6,0.0106191822427129,0.392042087776024,0,0,0,0,1.49580013349014,-1.12344082413632e-08,0.0221354156187968,-0.000389610529510858,0,0,0,0.0022686395556806,0.00158504902126044
9.8,0.00960587124837839,0.398776119957368,0,0,0,0,1.50438171201051,-1.19908988415601e-08,0.0224660406263705,-0.000343846746690462,0,0,0,0.00233940750339706,0.00162956169229559
10,0.00856133410031378,0.405465108108164,0,0,0,0,1.51289713069683,-1.27515288033536e-08,0.0227935479133208,-0.000297867009428909,0,0,0,0.00241058808794095,0.00167403105422871
10.2,0.00748655035132137,0.412109650826833,0,0,0,0,1.52134711339945,-1.35151873989145e-08,0.0231180132255258,-0.000251715316638413,0,0,0,0.00248216544087897,0.00171843929986281
10.4,0.00638247101989458,0.418710334858185,0,0,0,0,1.52973238123271,-1.42809014292908e-08,0.0234395087878969,-0.000205432266128795,0,0,0,0.00255412438164906,0.00176276915982611
10.6,0.00525001840009675,0.425267735404344,0,0,0,0,1.53805365056061,-1.5048386295749e-08,0.0237581034140321,-0.000159055252057262,0,0,0,0.00262645038267628,0.00180700388702008
10.8,0.00409008604859125,0.431782416425538,0,0,0,0,1.5463116312735,-1.58153810256301e-08,0.0240738626172794,-0.000112618654242487,0,0,0,0.0026991295367157,0.00185112724237629
11,0.00290353875564265,0.438254930931155,0,0,0,0,1.55450702506584,-1.65831595226595e-08,0.0243868487259923,-6.61540234452064e-05,0,0,0,0.00277214852591194,0.00189512348300327
11.2,0.00169121283897993,0.444685821261446,0,0,0,0,1.56264052424369,-1.73489623465917e-08,0.0246971209970222,-1.96902547315546e-05,0,0,0,0.00284549459321605,0.00193897735028556
11.4,0.000453916295328205,0.451075619360217,0,0,0,0,1.57071281034954,-1.81133924838373e-08,0.0250047357346443,2.67462406791288e-05,0,0,0,0.00291915551506836,0.00198267406085938
11.6,-0.000807570765980936,0.457424847038875,0,0,0,0,1.57872455326582,-1.88762480455434e-08,0.0253097464075086,7.31313749780908e-05,0,0,0,0.00299311957617641,0.00202619929744249
11.8,-0.00209249566028355,0.46373401623214,0,0,0,0,1.58667641041125,-1.96358160130944e-08,0.0256122037673199,0.000119443229133565,0,0,0,0.00306737554575868,0.00206953920104279
12,-0.00340013266860547,0.470003629245736,0,0,0,0,1.59456902597857,-2.03931744095776e-08,0.0259121559693771,0.00016566190321754,0,0,0,0.0031419126551075,0.00211268036466499
12.2,-0.0047297823552027,0.476234178996372,0,0,0,0,1.60240303057663,-2.11470159612592e-08,0.0262096486906914,0.000211769377415709,0,0,0,0.00321672057687588,0.00215560982672496
12.4,-0.0060807709605038,0.482426149244293,0,0,0,0,1.61017904080716,-2.18969245131817e-08,0.0265047252502652,0.000257749376461457,0,0,0,0.00329178940537892,0.00219831506617292
12.6,-0.00745244968165541,0.488580014818671,0,0,0,0,1.6178976590749,-2.26430449182247e-08,0.0267974267279028,0.000303587242167324,0,0,0,0.00336710963823807,0.00224078399783205
12.8,-0.0088441938891896,0.494696241836107,0,0,0,0,1.62555947355735,-2.33847232862516e-08,0.027087792081993,0.000349269812955636,0,0,0,0.00344267215919491,0.00228300496817796
13,-0.0102554023599364,0.500775287912489,0,0,0,0,1.63316505820558,-2.41225609261958e-08,0.0273758582671318,0.000394785308326043,0,0,0,0.00351846822186349,0.00232496675201255
13.2,-0.0116854963978481,0.506817602368452,0,0,0,0,1.6407149729848,-2.48555679614737e-08,0.0276616603490363,0.000440123221644842,0,0,0,0.00359448943462413,0.00236665854895482
13.4,-0.0131339190225249,0.512823626428664,0,0,0,0,1.64820976406295,-2.55841263608475e-08,0.0279452316194473,0.000485274216480177,0,0,0,0.00367072774622948,0.00240806998101171
13.6,-0.0146001340458411,0.518793793415168,0,0,0,0,1.65564996424025,-2.63072465304937e-08,0.028226603707538,0.000530230031285942,0,0,0,0.00374717543243446,0.00244919108972538
13.8,-0.0160836252235306,0.524728528934982,0,0,0,0,1.66303609331327,-2.70253415462357e-08,0.028505806690732,0.000574983387329718,0,0,0,0.00382382508321696,0.00249001233426062
14,-0.0175838953303649,0.53062825106217,0,0,0,0,1.67036865862163,-2.77387943326685e-08,0.0287828692019793,0.000619527903959744,0,0,0,0.00390066959084562,0.00253052458914549
14.2,-0.0191004652249296,0.536493370514568,0,0,0,0,1.67764815566913,-2.84460523504448e-08,0.0290578185342862,0.000663858019414322,0,0,0,0.00397770213861062,0.0025707191420671
14.4,-0.0206328730211376,0.542324290825362,0,0,0,0,1.68487506862147,-2.91483172893542e-08,0.0293306807443817,0.000707968913673163,0,0,0,0.00405491618994693,0.00261058769264055
14.6,-0.0221805486969308,0.548121408509688,0,0,0,0,1.69205008162097,-2.98403721680357e-08,0.0296014892634983,0.000751857156769739,0,0,0,0.00413230571401962,0.00265012543877539
14.8,-0.0237431791109944,0.553885113226438,0,0,0,0,1.69917346218653,-3.05314492715647e-08,0.0298702600733992,0.000795518509551176,0,0,0,0.00420986447745857,0.00268932205553782
15,-0.025320348088096,0.559615787935423,0,0,0,0,1.70624566595339,-3.12157921421308e-08,0.0301370161428536,0.000838949981653989,0,0,0,0.00428758672554549,0.00272817048133288
15.2,-0.0269116532428184,0.565313809050061,0,0,0,0,1.71326713999288,-3.18949139113678e-08,0.0304017795859503,0.000882149069051409,0,0,0,0.00436546694563856,0.00276666406058317
15.4,-0.0285167049888479,0.570979546585738,0,0,0,0,1.72023832383662,-3.2567941005493e-08,0.0306645717453927,0.000925113706022614,0,0,0,0.0044434998590269,0.00280479654039032
15.6,-0.0301351257735209,0.576613364303994,0,0,0,0,1.72715965016383,-3.32347268663935e-08,0.0309254132759746,0.000967842214937899,0,0,0,0.00452168041274842,0.00284256206882159
15.8,-0.0317665492750365,0.582215619852664,0,0,0,0,1.73403154559517,-3.3895029892192e-08,0.0311843242232141,0.00101033326161987,0,0,0,0.0046000037718375,0.00287995519247607
16,-0.0334106196526827,0.587786664902119,0,0,0,0,1.74085443143673,-3.45493386486734e-08,0.0314413240987499,0.00105258581340389,0,0,0,0.00467846531181076,0.0029169708540857
16.2,-0.0350669907877609,0.593326845277734,0,0,0,0,1.74762872447967,-3.51972701279762e-08,0.0316964319512181,0.00109459910173027,0,0,0,0.00475706061147883,0.00295360438953893
16.4,-0.0367353255779928,0.598836501088704,0,0,0,0,1.75435483774486,-3.58374356301816e-08,0.031949666433753,0.00113637258717215,0,0,0,0.00483578544595073,0.00298985152486171
16.6,-0.0384152953307456,0.60431596685333,0,0,0,0,1.76103318108959,-3.64716286026245e-08,0.0322010458689946,0.00117790592522356,0,0,0,0.0049146357797418,0.00302570837357182
16.8,-0.0401065790277238,0.609765571620894,0,0,0,0,1.76766416207265,-3.7098705689062e-08,0.032450588307085,0.00121919894012736,0,0,0,0.00499360776034809,0.00306117143222057
17,-0.041808862782341,0.615185639090233,0,0,0,0,1.77424818651328,-3.77186773897753e-08,0.0326983115829759,0.00126025159617381,0,0,0,0.00507269771173044,0.00309623757713375
