t,LE11,LE22,LE33,LE12,LE13,LE23,J,S11,S22,S33,S12,S13,S23,psiE,psiNE
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,0.00995033085316809,0.00343716562009113,0.00995033085316809,0,0,0,1.0236122853444,0.000517903471674596,-1.72108143968171e-07,0.000517903471674596,0,0,0,4.3849478879739e-06,7.21681107410128e-07
0.4,0.0198026272961797,0.0064660321561297,0.0198026272961797,0,0,0,1.0471490561477,0.00103404321271561,-1.28822793304039e-07,0.00103404321271561,0,0,0,1.71693248792293e-05,2.94956834879612e-06
0.6,0.0295588022415444,0.00908880973711196,0.0295588022415444,0,0,0,1.07058626990326,0.00154800346114286,-9.31243287706409e-08,0.00154800346114286,0,0,0,3.78176621871179e-05,6.77609625300172e-06
0.8,0.0392207131532813,0.0113115588829641,0.0392207131532813,0,0,0,1.09390403983039,0.00205934774436236,-6.43017638150313e-08,0.00205934774436236,0,0,0,6.58233864953408e-05,1.22881160912536e-05
1,0.048790164169432,0.0131408466281748,0.048790164169432,0,0,0,1.11708339261373,0.00256765963439711,-4.16687561976582e-08,0.00256765963439711,0,0,0,0.000100707606073712,1.95665697020605e-05
1.2,0.0582689081239758,0.01458367915656,0.0582689081239758,0,0,0,1.14010629057266,0.00307254324286221,-2.4581207549914e-08,0.00307254324286221,0,0,0,0.000142017917548203,2.86862078147542e-05
1.4,0.0676586484738149,0.0156474481104819,0.0676586484738149,0,0,0,1.16295565742497,0.003573623782598,-1.2430537009011e-08,0.003573623782598,0,0,0,0.000189327249848696,3.97153630402158e-05
1.6,0.0769610411361284,0.016339884468821,0.0769610411361284,0,0,0,1.18561540244471,0.00407054810142397,-4.65162310189435e-09,0.00407054810142397,0,0,0,0.00024223274968101,5.271577811394e-05
1.8,0.0861776962410524,0.0165493516818048,0.0861776962410524,0,0,0,1.20792588501245,0.00456361667771414,-7.60403878209215e-06,0.00456361667771414,0,0,0,0.000300158038164125,6.79836649759573e-05
2,0.0953101798043249,0.0165493516818048,0.0953101798043249,0,0,0,1.23019133142418,0.00505105566254402,-5.91952882352496e-06,0.00505105566254402,0,0,0,0.000363167876644643,8.50537216316383e-05
