t,LE11,LE22,LE33,LE12,LE13,LE23,J,S11,S22,S33,S12,S13,S23,psiE,psiNE
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,-0.0049737704413051,0.00995033085316809,-0.00497377044130487,0,0,0,1.00000278997445,-1.57414771322084e-14,0.00122368279386057,-1.57407724007963e-14,0,0,0,2.17865203873873e-06,3.89600315763958e-06
0.4,-0.00989852575175463,0.0198026272961797,-0.00989852575175418,0,0,0,1.00000557580822,-2.89326939142964e-14,0.00244554948341363,-2.89227192543096e-14,0,0,0,8.65748910218661e-06,1.5454026733311e-05
0.6,-0.0147752232792284,0.0295588022415444,-0.0147752232792271,0,0,0,1.000008355718,2.13321114245213e-14,0.0036648179137627,2.13449050101566e-14,0,0,0,1.9352845652389e-05,3.44716799871493e-05
0.8,-0.0196047925484973,0.0392207131532813,-0.0196047925484967,0,0,0,1.0000111281182,-6.60539331565069e-15,0.00488079264439773,-6.59758706000879e-15,0,0,0,3.41836483811478e-05,6.07392282325581e-05
1,-0.0243881363367718,0.048790164169432,-0.0243881363367658,0,0,0,1.00001389159238,1.30186660063369e-14,0.00609285241860639,1.30204007298129e-14,0,0,0,5.30713082840366e-05,9.40416511273988e-05
1.2,-0.0291261316854978,0.0582689081239758,-0.0291261316854896,0,0,0,1.00001664489151,2.02030232820949e-14,0.00730044941760335,2.0195217026453e-14,0,0,0,7.59396204063041e-05,0.000134160192430025
1.4,-0.0338196308620386,0.0676586484738149,-0.0338196308620301,0,0,0,1.00001938693767,2.88458493202803e-14,0.008503110862251,2.88436809159354e-14,0,0,0,0.00010271467061734,0.000180873685698744
1.6,-0.0384694622765097,0.0769610411361284,-0.0384694622765019,0,0,0,1.00002211682769,-3.69543805278649e-14,0.00970044062497595,-3.69587173365549e-14,0,0,0,0.000133324748807928,0.000233959742615853
1.8,-0.0430764313571791,0.0861776962410524,-0.043076431357171,0,0,0,1.00002483383506,2.17790195600198e-14,0.0108921200559678,2.17772848365438e-14,0,0,0,0.000167700267946602,0.000293195834317371
