t,LE11,LE22,LE33,LE12,LE13,LE23,J,S11,S22,S33,S12,S13,S23,psiE,psiNE
6.8,0.0171657130329823,0.0171657130353059,0.29266961396282,0,0,0,1.38680291949773,8.30159659764851e-10,8.30272430668577e-10,0.0169651743887383,0,0,0,0.00135704441731542,0.000911166459590219
7,0.0166590012830316,0.0166590012825767,0.300104592450338,0,0,0,1.39573700535947,9.43279379085615e-10,9.43258852102724e-10,0.0173570231685281,0,0,0,0.00141914035424247,0.000955564624190457
7.2,0.0161231745508487,0.0161231745504347,0.307484699747961,0,0,0,1.40456977910105,1.05684564224995e-09,1.05682869400159e-09,0.0177444283976978,0,0,0,0.00148190839075996,0.00100043367958708
7.4,0.0155597287393045,0.0155597287371102,0.314810739840034,0,0,0,1.41330395996542,1.16909797120979e-09,1.1689982931315e-09,0.0181275093459869,0,0,0,0.00154532300507882,0.00104573646127467
7.6,0.0149700916643104,0.0149700916642822,0.322083499169113,0,0,0,1.42194219846268,1.27958310093546e-09,1.27958302720971e-09,0.0185063822654069,0,0,0,0.00160936000047105,0.0010914367099054
7.8,0.0143556251516494,0.0143556251536186,0.3293037471426,0,0,0,1.43048707397434,1.38682032524429e-09,1.38691064795887e-09,0.0188811602907837,0,0,0,0.00167399641133577,0.00113749906970092
8,0.0137176271224705,0.0137176271203241,0.336472236621213,0,0,0,1.43894109280343,1.49062882783685e-09,1.49053487434603e-09,0.0192519533491948,0,0,0,0.00173921041669994,0.00118388908477579
8.2,0.0130573335661555,0.0130573335647991,0.343589704390077,0,0,0,1.44730668633826,1.59010628535822e-09,1.59004819207109e-09,0.0196188680826415,0,0,0,0.00180498126015512,0.00123057319467912
8.4,0.0123759205195899,0.0123759205158943,0.350656871613169,0,0,0,1.45558620955487,1.68436240562814e-09,1.68420231320271e-09,0.0199820077825117,0,0,0,0.00187128917613352,0.00127751872854626
8.6,0.0116745060022609,0.0116745060036576,0.357674444271816,0,0,0,1.46378193988277,1.77353665954672e-09,1.77359824569956e-09,0.0203414723361235,0,0,0,0.00193811532214017,0.0013246938978866
8.8,0.0109541519065958,0.0109541519031038,0.364643113587909,0,0,0,1.47189607618655,1.85679177588938e-09,1.85664410321668e-09,0.020697358188106,0,0,0,0.00200544171616732,0.00137206778904095
9,0.0102158658929837,0.0102158658929323,0.371563556432483,0,0,0,1.47993073827544,1.93406247007283e-09,1.93406231915189e-09,0.0210497583126359,0,0,0,0.00207325117955605,0.00141961035390352
9.2,0.00946060326051212,0.00946060326047582,0.378436435720245,0,0,0,1.48788796649332,2.00475744772249e-09,2.00475741823219e-09,0.0213987622008823,0,0,0,0.00214152728427178,0.0014672924006614
9.4,0.00868926882038644,0.00868926882311751,0.385262400790645,0,0,0,1.49576972181236,2.06969988543471e-09,2.06981301629355e-09,0.0217444558591773,0,0,0,0.00221025430491362,0.00151508558303789
